DATE,LNS13023622
2010-01-01,61.9
2010-02-01,63.4
2010-03-01,63
2010-04-01,61.5
2010-05-01,62.4
2010-06-01,62.8
2010-07-01,62.1
2010-08-01,62.3
2010-09-01,62.8
2010-10-01,61.3
2010-11-01,63
2010-12-01,61.2
2011-01-01,60.1
2011-02-01,60.2
2011-03-01,60.3
2011-04-01,59.4
2011-05-01,60
2011-06-01,58.8
2011-07-01,59.2
2011-08-01,58.2
2011-09-01,58
2011-10-01,57.9
2011-11-01,57.5
2011-12-01,57.5
2012-01-01,57.1
2012-02-01,55.4
2012-03-01,55
2012-04-01,54.2
2012-05-01,55.3
2012-06-01,56.2
2012-07-01,56.2
2012-08-01,55.2
2012-09-01,54.3
2012-10-01,53.8
2012-11-01,53.7
2012-12-01,52.6
2013-01-01,53.8
2013-02-01,54
2013-03-01,53.4
2013-04-01,54.1
2013-05-01,52.4
2013-06-01,52
2013-07-01,51.7
2013-08-01,52.6
2013-09-01,52.3
2013-10-01,54.9
2013-11-01,53.1
2013-12-01,51.8
2014-01-01,52.9
2014-02-01,52.1
2014-03-01,51.8
2014-04-01,53.4
2014-05-01,51.1
2014-06-01,50.7
2014-07-01,49.6
2014-08-01,49.8
2014-09-01,49.0
2014-10-01,48.2
2014-11-01,49.2
2014-12-01,49.5
2015-01-01,47.7
2015-02-01,48.3
2015-03-01,49.0
2015-04-01,48.6
2015-05-01,50.0
2015-06-01,49.1
2015-07-01,49.6
2015-08-01,49.9
2015-09-01,48.9
2015-10-01,49.8
2015-11-01,48.8
2015-12-01,47.8
2016-01-01,46.5
2016-02-01,47.9
2016-03-01,48.5
2016-04-01,49.5
2016-05-01,48.9
2016-06-01,48.7
2016-07-01,48.9
2016-08-01,48.1
2016-09-01,48.9
2016-10-01,47.6
2016-11-01,47.0
2016-12-01,48.0
2017-01-01,48.8
2017-02-01,49.6
2017-03-01,49.6
2017-04-01,50.6
2017-05-01,49.1
2017-06-01,50.2
2017-07-01,49.3
2017-08-01,49.2
2017-09-01,48.8
2017-10-01,48.8
2017-11-01,47.0
2017-12-01,49.1
2018-01-01,49.0
2018-02-01,48.7
2018-03-01,47.8
2018-04-01,46.8
2018-05-01,47.1
2018-06-01,48.2
2018-07-01,48.9
2018-08-01,45.7
2018-09-01,46.5
2018-10-01,46.9
2018-11-01,46.8
2018-12-01,45.6
2019-01-01,48.1
2019-02-01,45.8
2019-03-01,45.7
2019-04-01,45.7
2019-05-01,45.5
2019-06-01,46.8
2019-07-01,47.0
2019-08-01,47.2
2019-09-01,44.5
2019-10-01,46.1
2019-11-01,47.9
2019-12-01,46.4
2020-01-01,44.4
2020-02-01,46.6
2020-03-01,58.2
2020-04-01,89.2
2020-05-01,87.1
2020-06-01,80.5
2020-07-01,79.1
2020-08-01,75.9
2020-09-01,72.3
2020-10-01,69.9
2020-11-01,69.9
2020-12-01,67.3
2021-01-01,68.9
2021-02-01,65.9
2021-03-01,63.8
2021-04-01,64.5
2021-05-01,62.9
2021-06-01,60.8
2021-07-01,57.4
2021-08-01,53.9
2021-09-01,53.3
2021-10-01,50.9
