DATE,LNS13023558
2010-01-01,24.2
2010-02-01,22.9
2010-03-01,23.6
2010-04-01,24.6
2010-05-01,22.9
2010-06-01,22.9
2010-07-01,23.3
2010-08-01,23
2010-09-01,23.3
2010-10-01,24
2010-11-01,22.9
2010-12-01,23.4
2011-01-01,23.8
2011-02-01,24.1
2011-03-01,24
2011-04-01,24.5
2011-05-01,24.5
2011-06-01,25.3
2011-07-01,24.7
2011-08-01,25.6
2011-09-01,25.1
2011-10-01,24.7
2011-11-01,25.2
2011-12-01,25.5
2012-01-01,25.6
2012-02-01,25.9
2012-03-01,25.6
2012-04-01,26.9
2012-05-01,26.8
2012-06-01,26
2012-07-01,26.7
2012-08-01,27.1
2012-09-01,27.4
2012-10-01,27.1
2012-11-01,27.6
2012-12-01,29
2013-01-01,27.8
2013-02-01,27.6
2013-03-01,27.1
2013-04-01,27.2
2013-05-01,28.5
2013-06-01,28.7
2013-07-01,28.6
2013-08-01,28.1
2013-09-01,28.2
2013-10-01,26.8
2013-11-01,28.2
2013-12-01,28.7
2014-01-01,27.6
2014-02-01,28.5
2014-03-01,29.2
2014-04-01,27.1
2014-05-01,29.1
2014-06-01,29.4
2014-07-01,30.1
2014-08-01,30.4
2014-09-01,30.3
2014-10-01,31.3
2014-11-01,30.2
2014-12-01,30.5
2015-01-01,31.1
2015-02-01,30.4
2015-03-01,31.1
2015-04-01,31.3
2015-05-01,29.6
2015-06-01,30.7
2015-07-01,29.9
2015-08-01,29.8
2015-09-01,30.6
2015-10-01,30.1
2015-11-01,30.5
2015-12-01,31.1
2016-01-01,32.7
2016-02-01,31.6
2016-03-01,31.1
2016-04-01,29.1
2016-05-01,29.0
2016-06-01,28.9
2016-07-01,29.7
2016-08-01,29.1
2016-09-01,29.4
2016-10-01,30.1
2016-11-01,30.4
2016-12-01,29.7
2017-01-01,29.1
2017-02-01,29.6
2017-03-01,28.3
2017-04-01,28.4
2017-05-01,30.0
2017-06-01,28.8
2017-07-01,30.1
2017-08-01,30.4
2017-09-01,30.7
2017-10-01,30.6
2017-11-01,31.0
2017-12-01,30.9
2018-01-01,30.0
2018-02-01,29.1
2018-03-01,29.4
2018-04-01,30.7
2018-05-01,30.0
2018-06-01,31.4
2018-07-01,28.5
2018-08-01,30.4
2018-09-01,31.8
2018-10-01,31.6
2018-11-01,31.8
2018-12-01,31.9
2019-01-01,30.0
2019-02-01,30.3
2019-03-01,31.8
2019-04-01,32.2
2019-05-01,30.6
2019-06-01,30.3
2019-07-01,29.2
2019-08-01,30.2
2019-09-01,29.3
2019-10-01,29.2
2019-11-01,29.1
2019-12-01,29.8
2020-01-01,31.6
2020-02-01,31.2
2020-03-01,24.6
2020-04-01,6.5
2020-05-01,7.7
2020-06-01,13.2
2020-07-01,14.2
2020-08-01,15.6
2020-09-01,17.0
2020-10-01,18.3
2020-11-01,18.4
2020-12-01,21.0
2021-01-01,19.3
2021-02-01,21.3
2021-03-01,23.1
2021-04-01,20.9
2021-05-01,23.1
2021-06-01,24.1
2021-07-01,26.5
2021-08-01,30.0
2021-09-01,30.0
2021-10-01,30.2
