Date,Newburgh,Orange County,New York,U.S.
2020-01-01,5.2,4.1,3.9,3.5
2020-02-01,5.3,4.2,3.9,3.5
2020-03-01,6.2,4.7,3.9,4.4
2020-04-01,21,17.5,16.2,14.7
2020-05-01,16.7,13.3,16.5,13.2
2020-06-01,14.4,11.1,13.7,11
2020-07-01,13.7,10.1,12.7,10.2
2020-08-01,11.5,7.9,11,8.4
2020-09-01,10.7,6.9,10.3,7.9
2020-10-01,9.1,5.6,9.3,6.9
2020-11-01,8.3,5.2,9.1,6.7
2020-12-01,8.7,5.5,8.8,6.7
2021-01-01,9.2,6.2,8.6,6.3
2021-02-01,9,6.4,8.4,6.2
2021-03-01,8.2,5.7,7.9,6.1
2021-04-01,7,5.1,7.8,6.1
2021-05-01,6.4,4.7,7.4,5.8
2021-06-01,7,5.2,7.4,5.9
2021-07-01,7,4.9,6.9,5.4
2021-08-01,6.6,4.6,6.6,5.2
2021-09-01,5.7,3.9,6,4.8
2021-10-01,5.4,3.7,5.7,4.5
2021-11-01,4.4,3.3,5.4,4.2
2021-12-01,3.8,2.9,5.4,3.9
2022-01-01,5.1,3.6,5.3,4
2022-02-01,5.3,3.8,4.9,3.8
2022-03-01,5.2,3.6,4.6,3.6
2022-04-01,4.9,3,4.5,3.6
2022-05-01,4.9,3,4.4,3.6
2022-06-01,5,3.2,4.4,3.6
2022-07-01,5.3,3.5,4.3,3.5
2022-08-01,5.7,3.5,4.7,3.7
2022-09-01,4.5,2.9,4.3,3.5
2022-10-01,3.6,2.4,4.3,3.7
2022-11-01,3.7,2.6,4.3,3.6
2022-12-01,3.7,2.6,4.3,3.5
